Design files available,Data sheet,Open source design or open standard,Description,Vendor,Vendor Part Number,Self-source vendor suggestion,b,r,a,thelio,thelio-mira,thelio-major,thelio-mega,thelio-massive,thelio-spark,thelio-astra
N,https://rog.asus.com/motherboards/rog-strix/rog-strix-x570-e-gaming-wifi-ii-model/,N,ASUS ROG STRIX X570-E GAMING WIFI II,ASUS,ROG STRIX X570-E GAMING WIFI II,Amazon,,2,,0,1,0,0,0,0,0
N,https://www.gigabyte.com/Motherboard/B660M-AORUS-PRO-AX-DDR4-rev-1x#kf,N,Gigabyte B660M AORUS PRO AX DDR4,Gigabyte,B660M AORUS PRO AX DDR4,Amazon,2,,,0,1,0,0,0,0,0
N,https://www.gigabyte.com/us/Motherboard/X670-AORUS-ELITE-AX-rev-10-12#kf,N,Gigabyte X670 AORUS ELITE AX,Gigabyte,X670 AORUS ELITE AX,Amazon,,3,,0,1,0,0,0,0,0
N,https://www.gigabyte.com/Motherboard/Z690-AORUS-ELITE-AX-rev-1x#kf,N,Gigabyte Z690 AORUS ELITE AX,Gigabyte,Z690 AORUS ELITE AX,Amazon,3,,,0,1,0,0,0,0,0
N,https://www.asrock.com/mb/AMD/X870%20Pro%20RS%20WiFi/index.asp,N,ASRock X870 PRO RS WIFI,ASRock,X870 PRO RS WIFI,Amazon,,4,,0,1,0,0,0,0,0
N,https://www.gigabyte.com/Motherboard/Z790-AORUS-ELITE-AX-rev-10#kf,N,Gigabyte Z790 AORUS ELITE AX,Gigabyte,Z790 AORUS ELITE AX,4,,,,0,1,0,0,0,0,0
N,https://www.gigabyte.com/Motherboard/Z790-AORUS-ELITE-AX-rev-1x#kf,N,Gigabyte Z790 AORUS ELITE AX (rev. 1.x),Gigabyte,Z790 AORUS ELITE AX (rev 1.x),Amazon,4.1,,,0,1,0,0,0,0,0
N,https://www.gigabyte.com/Motherboard/X399-DESIGNARE-EX-rev-10#kf,N,Gigabyte X399 Designare EX,Gigabyte,X399 Designare EX,Amazon,,1,,0,0,1,0,0,0,0
N,https://www.gigabyte.com/Motherboard/X299-AORUS-Ultra-Gaming-Pro-rev-10#kf,N,Gigabyte X299 Ultra Gaming Pro,Gigabyte,X299 Ultra Gaming Pro,Amazon,1,,,0,0,1,0,0,0,0
N,https://www.gigabyte.com/Motherboard/TRX40-AORUS-PRO-WIFI-rev-10#kf,N,Gigabyte TRX40 AORUS PRO WIFI,Gigabyte,TRX40 AORUS PRO WIFI,Amazon,,2,,0,0,1,0,0,0,0
N,https://www.gigabyte.com/Motherboard/TRX40-AORUS-PRO-WIFI-rev-11-12#kf,N,Gigabyte TRX40 AORUS PRO WIFI (rev. 1.1/1.2),Gigabyte,TRX40 AORUS PRO WIFI (rev. 1.1/1.2),Amazon,,2.1,,0,0,1,0,0,0,0
N,https://www.gigabyte.com/Motherboard/X299-AORUS-Gaming-3-Pro-rev-10#kf,N,Gigabyte X299 AORUS GAMING 3 PRO,Gigabyte,X299 AORUS GAMING 3 PRO,Amazon,2,,,0,0,1,0,0,0,0
